id	char
0	

1	 
2	$
3	&
4	'
5	-
6	.
7	/
8	0
9	1
10	2
11	3
12	4
13	5
14	6
15	7
16	8
17	9
18	?
19	A
20	B
21	C
22	D
23	E
24	F
25	G
26	H
27	I
28	J
29	K
30	L
31	M
32	N
33	O
34	P
35	Q
36	R
37	S
38	T
39	U
40	V
41	W
42	X
43	Y
44	Z
45	_
46	a
47	b
48	c
49	d
50	e
51	f
52	g
53	h
54	i
55	j
56	k
57	l
58	m
59	n
60	o
61	p
62	q
63	r
64	s
65	t
66	u
67	v
68	w
69	x
70	y
71	z
72	~
73	’
74	“
75	”
76	　
77	《
78	》
79	ㄧ
80	一
81	丁
82	七
83	万
84	丈
85	三
86	上
87	下
88	不
89	与
90	丐
91	丑
92	专
93	且
94	世
95	丘
96	业
97	丛
98	东
99	丝
100	丢
101	两
102	个
103	中
104	丰
105	串
106	临
107	丸
108	丹
109	为
110	主
111	丽
112	举
113	久
114	么
115	义
116	之
117	乌
118	乎
119	乐
120	乔
121	乖
122	乘
123	乜
124	九
125	乞
126	也
127	习
128	乡
129	书
130	买
131	乱
132	乳
133	乾
134	了
135	予
136	争
137	事
138	二
139	于
140	亏
141	云
142	互
143	五
144	井
145	亚
146	些
147	交
148	亦
149	产
150	享
151	京
152	亮
153	亲
154	人
155	亿
156	什
157	仄
158	仅
159	仆
160	仇
161	今
162	介
163	仍
164	从
165	仓
166	仔
167	他
168	付
169	仙
170	代
171	令
172	以
173	仪
174	们
175	仰
176	仲
177	件
178	价
179	任
180	份
181	仿
182	企
183	伊
184	伍
185	伎
186	伏
187	伐
188	休
189	众
190	优
191	伙
192	会
193	传
194	伤
195	伦
196	伪
197	伫
198	伯
199	估
200	伴
201	似
202	但
203	位
204	低
205	住
206	佐
207	佑
208	体
209	何
210	余
211	佛
212	作
213	你
214	佢
215	佩
216	佬
217	佯
218	使
219	來
220	例
221	供
222	依
223	侠
224	侥
225	侧
226	侵
227	便
228	促
229	俗
230	保
231	信
232	俩
233	修
234	俯
235	俱
236	個
237	倍
238	倒
239	候
240	借
241	倦
242	值
243	倾
244	假
245	偏
246	做
247	停
248	偶
249	偷
250	傍
251	催
252	傲
253	傻
254	像
255	僵
256	儒
257	儿
258	兀
259	元
260	兄
261	充
262	兆
263	先
264	光
265	克
266	免
267	兜
268	兢
269	入
270	全
271	八
272	公
273	六
274	兮
275	兰
276	共
277	关
278	兴
279	兵
280	其
281	具
282	典
283	兹
284	养
285	兼
286	兽
287	内
288	冈
289	册
290	再
291	冒
292	写
293	军
294	农
295	冠
296	冥
297	冬
298	冰
299	冲
300	决
301	况
302	冷
303	冻
304	净
305	准
306	凉
307	凌
308	减
309	凑
310	凝
311	几
312	凡
313	凤
314	凭
315	凯
316	凶
317	出
318	击
319	刀
320	刃
321	分
322	切
323	刑
324	划
325	列
326	则
327	刚
328	创
329	初
330	删
331	判
332	利
333	别
334	刮
335	到
336	制
337	刷
338	刹
339	刺
340	刻
341	剂
342	削
343	前
344	剑
345	剛
346	剥
347	剧
348	剩
349	副
350	割
351	剽
352	剿
353	力
354	劝
355	办
356	功
357	加
358	务
359	劣
360	动
361	助
362	努
363	励
364	劲
365	劳
366	势
367	勃
368	勇
369	勒
370	勤
371	勾
372	勿
373	包
374	匆
375	化
376	北
377	匙
378	匪
379	区
380	医
381	十
382	千
383	升
384	午
385	半
386	华
387	卑
388	卒
389	卓
390	单
391	卖
392	南
393	博
394	卜
395	占
396	卡
397	卧
398	印
399	危
400	即
401	却
402	卷
403	卸
404	厂
405	厄
406	厅
407	历
408	厉
409	压
410	厌
411	厚
412	原
413	厢
414	厨
415	厮
416	去
417	县
418	参
419	又
420	及
421	友
422	双
423	反
424	发
425	叔
426	取
427	受
428	变
429	叙
430	叛
431	口
432	古
433	句
434	另
435	叨
436	只
437	叫
438	召
439	叮
440	可
441	台
442	史
443	右
444	叵
445	叶
446	号
447	司
448	叹
449	叻
450	吃
451	各
452	合
453	吉
454	吊
455	同
456	名
457	后
458	吐
459	向
460	吓
461	吗
462	君
463	吝
464	吞
465	吟
466	否
467	吧
468	吨
469	听
470	启
471	吴
472	吵
473	吸
474	吹
475	吻
476	吼
477	呀
478	呃
479	呆
480	告
481	呐
482	呕
483	员
484	呛
485	呜
486	呢
487	周
488	味
489	呵
490	呸
491	呼
492	命
493	呾
494	咁
495	咆
496	咋
497	和
498	咐
499	咒
500	咖
501	咙
502	咛
503	咧
504	咩
505	咪
506	咬
507	咯
508	咱
509	咳
510	咸
511	咽
512	咿
513	哀
514	品
515	哄
516	哈
517	响
518	哎
519	哑
520	哟
521	哥
522	哦
523	哩
524	哪
525	哭
526	哮
527	哲
528	哼
529	唇
530	唉
531	唔
532	唠
533	唤
534	唬
535	唯
536	唱
537	唸
538	啃
539	商
540	啊
541	問
542	啡
543	啤
544	啥
545	啦
546	啬
547	啰
548	啸
549	喂
550	善
551	喆
552	喉
553	喊
554	喔
555	喘
556	喜
557	喝
558	喧
559	單
560	喷
561	嗑
562	嗓
563	嗝
564	嗤
565	嗦
566	嗨
567	嗯
568	嗲
569	嘀
570	嘅
571	嘛
572	嘞
573	嘟
574	嘢
575	嘱
576	嘲
577	嘴
578	嘶
579	嘻
580	嘿
581	噎
582	噜
583	噢
584	器
585	噩
586	噱
587	噶
588	囊
589	四
590	回
591	因
592	团
593	园
594	困
595	围
596	固
597	国
598	图
599	圆
600	圈
601	土
602	圣
603	在
604	地
605	场
606	圾
607	址
608	均
609	坊
610	坎
611	坏
612	坐
613	坑
614	块
615	坚
616	坛
617	坞
618	坟
619	坠
620	坡
621	坦
622	坷
623	垂
624	垃
625	垄
626	型
627	垦
628	垮
629	埃
630	埋
631	城
632	域
633	埠
634	基
635	堂
636	堆
637	堕
638	堡
639	堤
640	堪
641	堵
642	塌
643	塔
644	塞
645	填
646	境
647	墅
648	墓
649	墙
650	增
651	墟
652	墨
653	墩
654	壁
655	壑
656	士
657	壮
658	声
659	壳
660	处
661	备
662	复
663	夏
664	夕
665	外
666	多
667	夜
668	够
669	大
670	天
671	太
672	夫
673	夭
674	失
675	头
676	夸
677	夹
678	夺
679	奇
680	奈
681	奉
682	奋
683	奏
684	契
685	奔
686	奖
687	套
688	奢
689	奥
690	女
691	奶
692	她
693	好
694	如
695	妄
696	妆
697	妇
698	妈
699	妒
700	妙
701	妞
702	妥
703	妮
704	妹
705	姆
706	始
707	姐
708	姑
709	姓
710	委
711	姜
712	姥
713	姨
714	姿
715	威
716	娃
717	娇
718	娘
719	娜
720	娱
721	婆
722	婚
723	婪
724	媒
725	媲
726	嫉
727	子
728	孔
729	字
730	存
731	孝
732	季
733	孤
734	学
735	孩
736	孬
737	孺
738	宁
739	它
740	守
741	安
742	宋
743	完
744	宗
745	官
746	定
747	宜
748	宝
749	实
750	宠
751	审
752	客
753	宣
754	室
755	宰
756	害
